CampaignID,AdvertiserName,CampaignName,CampaignStartDate,CampaignEndDate,TargetingCriteria,AdSlotSize,Budget,RemainingBudget
29,Advertiser_4,Campaign_29,2024-10-07,2024-11-19,"Age 18-49, Gaming, India",728x90,61280.79,61280.79
30,Advertiser_4,Campaign_30,2024-10-12,2024-11-06,"Age 28-33, Travel, USA",300x250,185308.88,185308.88
31,Advertiser_4,Campaign_31,2024-10-24,2024-11-08,"Age 23-42, Health, Germany",300x250,53771.76,53771.76
32,Advertiser_4,Campaign_32,2024-10-27,2024-11-18,"Age 26-50, Travel, Germany",160x600,134246.1,134246.1
33,Advertiser_5,Campaign_33,2024-10-17,2024-12-04,"Age 24-34, Health, India",728x90,53797.96,53797.96
34,Advertiser_5,Campaign_34,2024-10-19,2024-11-01,"Age 21-40, Education, Germany",300x250,208921.68,208921.68
35,Advertiser_5,Campaign_35,2024-10-02,2024-11-26,"Age 30-43, Technology, India",728x90,354525.31,354525.31
36,Advertiser_5,Campaign_36,2024-10-06,2024-11-17,"Age 21-44, Health, India",160x600,478929.22,478929.22
37,Advertiser_5,Campaign_37,2024-10-10,2024-11-03,"Age 29-48, Gaming, UK",300x250,442058.8,442058.8
38,Advertiser_5,Campaign_38,2024-10-17,2024-12-05,"Age 27-48, Finance, UK",300x250,371649.32,371649.32
39,Advertiser_5,Campaign_39,2024-10-19,2024-12-17,"Age 29-34, Health, UK",300x250,211132.14,211132.14
40,Advertiser_5,Campaign_40,2024-10-15,2024-12-12,"Age 23-34, Technology, Australia",728x90,469288.26,469288.26
41,Advertiser_5,Campaign_41,2024-10-21,2024-11-20,"Age 22-47, Health, India",728x90,131837.17,131837.17
42,Advertiser_6,Campaign_42,2024-10-12,2024-10-26,"Age 26-31, Gaming, UK",300x250,262362.02,262362.02
43,Advertiser_6,Campaign_43,2024-10-24,2024-11-08,"Age 30-40, Fashion, Australia",300x250,115852,115852
44,Advertiser_6,Campaign_44,2024-10-25,2024-11-08,"Age 24-47, Health, India",160x600,395400.14,395400.14
45,Advertiser_6,Campaign_45,2024-10-28,2024-11-23,"Age 27-44, Education, USA",300x250,383526.93,383526.93
46,Advertiser_6,Campaign_46,2024-10-23,2024-11-24,"Age 24-32, Sports, Germany",160x600,235106.51,235106.51
47,Advertiser_6,Campaign_47,2024-10-12,2024-11-20,"Age 30-41, Finance, India",728x90,176261.06,176261.06
48,Advertiser_6,Campaign_48,2024-10-25,2024-12-16,"Age 26-46, Sports, UK",728x90,327634.23,327634.23
49,Advertiser_6,Campaign_49,2024-10-07,2024-11-11,"Age 21-33, Travel, Australia",160x600,493686.74,493686.74
50,Advertiser_6,Campaign_50,2024-10-20,2024-11-10,"Age 23-48, Travel, USA",300x250,169631.73,169631.73
51,Advertiser_6,Campaign_51,2024-10-27,2024-11-07,"Age 26-47, Gaming, Germany",728x90,289281.66,289281.66
52,Advertiser_6,Campaign_52,2024-10-20,2024-12-10,"Age 22-37, Sports, Germany",728x90,13886.73,13886.73
53,Advertiser_6,Campaign_53,2024-10-16,2024-12-14,"Age 22-31, Technology, India",160x600,69324.34,69324.34
54,Advertiser_6,Campaign_54,2024-10-15,2024-10-25,"Age 23-42, Health, Germany",160x600,33239.17,33239.17
55,Advertiser_7,Campaign_55,2024-10-02,2024-11-05,"Age 19-32, Fashion, UK",300x250,159398.11,159398.11
56,Advertiser_7,Campaign_56,2024-10-04,2024-11-29,"Age 25-34, Fashion, UK",160x600,38105.04,38105.04
57,Advertiser_7,Campaign_57,2024-10-12,2024-11-03,"Age 24-31, Technology, India",300x250,267755.69,267755.69
58,Advertiser_7,Campaign_58,2024-10-01,2024-10-23,"Age 25-46, Sports, Germany",160x600,214226.33,214226.33
59,Advertiser_7,Campaign_59,2024-10-11,2024-11-25,"Age 30-37, Travel, India",160x600,17303.98,17303.98
60,Advertiser_7,Campaign_60,2024-10-23,2024-12-22,"Age 29-41, Health, Germany",160x600,386499.62,386499.62
61,Advertiser_8,Campaign_61,2024-10-30,2024-12-28,"Age 22-35, Technology, UK",728x90,287644.49,287644.49
62,Advertiser_8,Campaign_62,2024-10-08,2024-10-29,"Age 25-36, Finance, Germany",300x250,135196.87,135196.87
63,Advertiser_8,Campaign_63,2024-10-02,2024-11-18,"Age 25-40, Finance, Australia",160x600,261602.92,261602.92
64,Advertiser_8,Campaign_64,2024-10-14,2024-12-03,"Age 27-46, Education, Germany",728x90,323955.52,323955.52
65,Advertiser_8,Campaign_65,2024-10-17,2024-11-17,"Age 21-35, Technology, UK",160x600,90784.78,90784.78
66,Advertiser_8,Campaign_66,2024-10-11,2024-11-11,"Age 18-50, Fashion, USA",728x90,293859.51,293859.51
67,Advertiser_8,Campaign_67,2024-10-13,2024-11-04,"Age 28-49, Sports, Germany",300x250,106814.23,106814.23
68,Advertiser_8,Campaign_68,2024-10-03,2024-10-26,"Age 28-36, Travel, India",300x250,413715.61,413715.61
69,Advertiser_8,Campaign_69,2024-10-02,2024-11-25,"Age 20-34, Technology, India",300x250,145588.07,145588.07
70,Advertiser_9,Campaign_70,2024-10-03,2024-12-02,"Age 23-43, Gaming, USA",728x90,228834.74,228834.74
71,Advertiser_9,Campaign_71,2024-10-28,2024-12-14,"Age 21-38, Health, India",300x250,38998.15,38998.15
72,Advertiser_9,Campaign_72,2024-10-05,2024-11-03,"Age 26-35, Technology, Australia",160x600,276505.18,276505.18
73,Advertiser_9,Campaign_73,2024-10-05,2024-11-12,"Age 30-40, Travel, USA",300x250,371437.98,371437.98
74,Advertiser_9,Campaign_74,2024-10-17,2024-11-25,"Age 27-46, Technology, Germany",300x250,50510.6,50510.6
75,Advertiser_9,Campaign_75,2024-10-20,2024-12-03,"Age 26-45, Fashion, Germany",160x600,356292.49,356292.49
76,Advertiser_9,Campaign_76,2024-10-11,2024-10-23,"Age 24-43, Health, Germany",160x600,259517.44,259517.44
77,Advertiser_9,Campaign_77,2024-10-15,2024-11-26,"Age 18-36, Health, UK",160x600,120401.36,120401.36
78,Advertiser_9,Campaign_78,2024-10-01,2024-11-16,"Age 28-39, Sports, Germany",728x90,15905.71,15905.71
79,Advertiser_9,Campaign_79,2024-10-14,2024-11-11,"Age 27-31, Technology, Australia",300x250,310798.06,310798.06
80,Advertiser_9,Campaign_80,2024-10-16,2024-12-03,"Age 24-32, Gaming, India",160x600,348553.25,348553.25
81,Advertiser_9,Campaign_81,2024-10-27,2024-11-08,"Age 26-43, Gaming, India",300x250,363580.65,363580.65
82,Advertiser_9,Campaign_82,2024-10-26,2024-11-25,"Age 22-42, Gaming, Australia",300x250,368717.9,368717.9
83,Advertiser_10,Campaign_83,2024-10-21,2024-11-09,"Age 18-45, Travel, Australia",160x600,102148,102148
84,Advertiser_10,Campaign_84,2024-10-25,2024-12-21,"Age 27-44, Finance, UK",160x600,122524.93,122524.93
85,Advertiser_10,Campaign_85,2024-10-28,2024-12-23,"Age 21-41, Fashion, India",300x250,448136.59,448136.59
86,Advertiser_10,Campaign_86,2024-10-07,2024-11-25,"Age 29-36, Travel, USA",300x250,412523.99,412523.99
87,Advertiser_10,Campaign_87,2024-10-17,2024-12-13,"Age 22-48, Health, UK",300x250,92307.14,92307.14
88,Advertiser_10,Campaign_88,2024-10-01,2024-10-24,"Age 23-41, Travel, Germany",300x250,158193.96,158193.96
89,Advertiser_10,Campaign_89,2024-10-20,2024-11-10,"Age 27-47, Fashion, Germany",728x90,395312.78,395312.78
90,Advertiser_10,Campaign_90,2024-10-03,2024-11-30,"Age 27-46, Gaming, USA",728x90,322429.03,322429.03
91,Advertiser_10,Campaign_91,2024-10-03,2024-11-25,"Age 27-50, Gaming, Germany",300x250,468576.29,468576.29
92,Advertiser_10,Campaign_92,2024-10-27,2024-12-23,"Age 21-38, Fashion, India",300x250,24276.06,24276.06
93,Advertiser_10,Campaign_93,2024-10-12,2024-11-26,"Age 20-41, Finance, USA",728x90,434738.07,434738.07
94,Advertiser_11,Campaign_94,2024-10-04,2024-10-28,"Age 20-48, Education, Australia",160x600,255074.2,255074.2
95,Advertiser_11,Campaign_95,2024-10-14,2024-10-27,"Age 20-46, Finance, India",728x90,299096.92,299096.92
96,Advertiser_11,Campaign_96,2024-10-29,2024-11-19,"Age 25-44, Gaming, Germany",728x90,243107.94,243107.94
97,Advertiser_11,Campaign_97,2024-10-19,2024-12-12,"Age 27-36, Education, UK",300x250,255525.86,255525.86
98,Advertiser_11,Campaign_98,2024-10-08,2024-11-23,"Age 30-44, Education, Germany",300x250,476279.56,476279.56
99,Advertiser_11,Campaign_99,2024-10-21,2024-11-20,"Age 19-47, Travel, India",160x600,488025.5,488025.5
100,Advertiser_11,Campaign_100,2024-10-05,2024-11-04,"Age 28-50, Health, UK",728x90,102831.73,102831.73
