author_id,created_at,text
Tesco,2025-08-12T22:10:11.960989,"@119377 I do apologise about this Emma, can you DM me your name, address and order number please? 1/2"
119377,2025-08-12T22:10:12.061974,@Tesco we had a grocery delivery delivery due between 9 -10 no one has turned up and we haven’t had any contact.
Tesco,2025-08-12T22:10:12.163980,"@119378 Sorry Emma, did you receive your delivery? - Ceri"
119378,2025-08-12T22:10:12.265958,"@Tesco 20 mins late, and several items missing
Not happy at all"
Tesco,2025-08-12T22:10:12.367523,"@119378 Could you please DM your full name, address, email address and a list of the items you are missing? TY- Sophie 2/2"
119378,2025-08-12T22:10:12.469339,@Tesco Sent. Please look into this asap as I'm not happy at all
Tesco,2025-08-12T22:10:12.570943,"@119378 Hello Emma, I'm sorry your delivery was late and that you're missing several items. I'd like to get this sorted for you. 1/2"
119378,2025-08-12T22:10:12.672059,"When the @Tesco food order doesn't show up!!!!!!!!

Not impressed, customer lost."
Tesco,2025-08-12T22:10:12.772910,"@119379 Sorry Pearl, did you manage to speak to anyone? Did you receive your delivery? - Ceri"
119379,2025-08-12T22:10:12.874219,"@Tesco no sign of delivery which was meant to arrive an hour ago, and no answer from helpline- which keeps auto hanging up. Help please??"
Delta,2025-08-12T22:10:12.975408,@119380 Happy Halloween!  *HVI
119380,2025-08-12T22:10:13.077256,When you have to give @Delta Biscoff out to trick-or-treaters because you run low on candy.... #HappyHalloween
Delta,2025-08-12T22:10:13.178308,"@119381 We appreciate your feedback, JD! *ALA"
119381,2025-08-12T22:10:13.279763,@Delta Marcus is an All-Star!
119381,2025-08-12T22:10:13.381607,@DELTA huge thanks to Marcus and the other gate agents at LAX terminal 2 for incredible customer service tonight. well done.
TMobileHelp,2025-08-12T22:10:13.483629,@119382 Here for you! DM us and we'll chat! *ErikS
119382,2025-08-12T22:10:13.585329,@TMobileHelp my porn won’t load i’ve been waiting for an hour i’m already soft what’s wrong with your wifi .
119382,2025-08-12T22:10:13.686008,help me @115911
TMobileHelp,2025-08-12T22:10:13.791661,@119383 Lets turn this around for you! DM us and we'll get started. *MelJ
119383,2025-08-12T22:10:13.893191,@115911 thanks for fucking up my phone with that last system update you guys did.
TMobileHelp,2025-08-12T22:10:13.993433,"@119384 This message indicates we were giving people more time to pay the bill, and we appreciate your time in DM! *ErikaHoleman"
119384,2025-08-12T22:10:14.093904,"@TMobileHelp Well it also should've indicated that you all were charging people to go along with the ""courtesy"""
TMobileHelp,2025-08-12T22:10:14.194621,@119384 I hear your frustrations Sidnel! I will meet you in the DMs to help out right away! *BrendanLee
119384,2025-08-12T22:10:14.295236,@115911 billing people for courtesy that was given from you is stealing. You are thieves!! https://t.co/Dw9wYXJBEt
TMobileHelp,2025-08-12T22:10:14.396752,@119385 Hey Ricky. Send us a DM and we'll see what's going on! We gotchu. *ErikS
119385,2025-08-12T22:10:14.500616,@TMobileHelp Done.
119385,2025-08-12T22:10:14.611517,"@115911 @116688 I can't get the code to work, even on desktop."
ChipotleTweets,2025-08-12T22:10:14.726685,"@119386 Oh my goodness, that's not good. I'll get the correct songs ASAP – you've waited far too long. I'm so sorry. -Becky"
119386,2025-08-12T22:10:14.838185,@ChipotleTweets thank you!!! I’m desperate over here!! I remember loving the song so much!!
ChipotleTweets,2025-08-12T22:10:14.942290,"@119386 Oh, I've totally been there. I have a feeling I'll hear back soon! -Becky"
119386,2025-08-12T22:10:15.042456,"@ChipotleTweets thank you so much but the info I was looking for was from 9/2 around 11:15-11:30. 9205 Reseda Blvd, Northridge, CA 91324"
ChipotleTweets,2025-08-12T22:10:15.142680,@119386 Hey girl! Can you follow us so I can send those songs? -AC
119386,2025-08-12T22:10:15.265716,@ChipotleTweets never heard back 🙁
ChipotleTweets,2025-08-12T22:10:15.380520,"@119386 Nope, not yet. Should be sometime this week. -Gabe"
119386,2025-08-12T22:10:15.480702,@ChipotleTweets  any updates for me???
ChipotleTweets,2025-08-12T22:10:15.583678,"@119386 Totally. What's the date, time and address of the location you visited? -AC"
119386,2025-08-12T22:10:15.684039,@chipotletweets hi! Any chance you can give me a list of songs played at one of your locations?
ChipotleTweets,2025-08-12T22:10:15.283774,@119387 I'm glad we were able to hook you up! -Becky
119387,2025-08-12T22:10:15.383935,Broooo @ChipotleTweets just hooked me up with 2 chicken bowls for 3.25 each! 😭 even if I wasn’t wearing a costume. #blessed
ChipotleTweets,2025-08-12T22:10:15.484136,@119388 That's not good. Which location did you visit? I'd like to follow up. -Becky
119388,2025-08-12T22:10:15.585112,"@ChipotleTweets Got it from the location at 1620 W University Dr, Edinburg, TX 78539"
ChipotleTweets,2025-08-12T22:10:15.685785,"@119388 Thanks so much, and I'll get in touch with the team right now. -Becky"
119388,2025-08-12T22:10:15.786947,@ChipotleTweets Thank You!
119389,2025-08-12T22:10:15.887156,@119388 @ChipotleTweets Fuckin snitch
119388,2025-08-12T22:10:15.987728,.@ChipotleTweets glad my burrito was wrapped for safekeeping https://t.co/d5Div2be0I
ChipotleTweets,2025-08-12T22:10:16.087987,"@119390 That's obviously a deviation from your norm, so yes. -Becky"
119390,2025-08-12T22:10:16.189463,@ChipotleTweets can I just be ugly for my costume and still get food for $3?
ChipotleTweets,2025-08-12T22:10:16.290421,"@119391 As long as you're declared safe, that's what matters. -Becky"
119391,2025-08-12T22:10:16.391105,Joc Pederson rounded those bases like I round the line to the counter at @ChipotleTweets #WorldSeries
ChipotleTweets,2025-08-12T22:10:16.492426,@119392 That's concerning. Please tell us more here: https://t.co/Ax7W1Dx3Y9 -Becky
119392,2025-08-12T22:10:16.594264,Never go all day without eating and then eat an entire chipotle burrito your stomach will hate you forever
ChipotleTweets,2025-08-12T22:10:16.695903,@119393 You didn't get it? I'm so sorry. I dig the costume. -Becky
119393,2025-08-12T22:10:16.796405,"when @48749 dresses you up as @118967 for $3 BOORITOS from @ChipotleTweets ! (didnt get costume discount, but I regret nothing) https://t.co/KVEKkaL5pC"
ChipotleTweets,2025-08-12T22:10:16.898021,"@119394 Doubt that'll ever be a think, but goodness we can sure dream. -Becky"
119394,2025-08-12T22:10:16.998480,@ChipotleTweets I’ll just have to take advantage of the glorious dream each Halloween 🎃🌯
ChipotleTweets,2025-08-12T22:10:17.099967,@119394 I have the utmost faith in you. -Becky
119394,2025-08-12T22:10:17.200175,"Could you imagine a world where any @ChipotleTweets burrito was only $3 per day every day, double meat and guacamole included... https://t.co/YR2FPAG6vb"
ChipotleTweets,2025-08-12T22:10:17.301490,@119395 We'll always be here for you. -Becky
119395,2025-08-12T22:10:17.402215,@ChipotleTweets is the way to my heart 😋
ChipotleTweets,2025-08-12T22:10:17.503538,@119396 That's incredibly concerning. Please tell us more here: https://t.co/Ax7W1Dx3Y9 -Becky
119396,2025-08-12T22:10:17.604227,never eating chipotle again. fucked up my stomach ☹️
SouthwestAir,2025-08-12T22:10:17.705646,"@119397 We've always got your back, Ali! Glad we could get you where you need to be Safe and sound. ^SL"
119397,2025-08-12T22:10:17.809948,esp thanks to .@SouthwestAir #SNA staff for rebooking our tickets to SjC after our flight to SFO was canceled. Thanks 🙏 https://t.co/rgt3UDsmKB
SouthwestAir,2025-08-12T22:10:17.911020,"@119398 We know how you feel, Monique. Thanks for hanging with us as we work to get you on your way! ^SL"
119398,2025-08-12T22:10:18.011800,@SouthwestAir I luh yall but what's the point of being early if we have to sit and wait on a gate? ijs...
SouthwestAir,2025-08-12T22:10:18.112222,"@119399 We're always happy to give you a lift, Amanda! Thanks for thinking of us to meet your travel needs today. See you soon! ^MK"
119399,2025-08-12T22:10:18.212958,Thank you @SouthwestAir for getting me back to ATL safely https://t.co/7byaQSVw9E
AppleSupport,2025-08-12T22:10:18.313450,"@119400 Having a reliable iPhone is important, and we want you to enjoy using it without worrying about battery life. Which iPhone do you have, and what's the iOS version it's currently running? DM us with details here: https://t.co/GDrqU22YpT"
119400,2025-08-12T22:10:18.414383,Anyone else having battery issues in IPhone? Degrading way to fast. @AppleSupport
SouthwestAir,2025-08-12T22:10:18.516493,"@119401 We're disheartened to see this, Shane. Did you file a baggage report with an Agent at the airport? ^MA"
119401,2025-08-12T22:10:18.617375,"@SouthwestAir We just got home saw it now. We figured the grey bag was to protect it, maybe a zipper broke. But we found the bag destroyed and covered up."
SouthwestAir,2025-08-12T22:10:18.718161,@119401 We're sorry to hear that. We do need such damages reported. Please call our Baggage Team at 1-888-202-1024 for assistance. ^MA
119401,2025-08-12T22:10:18.818920,"@SouthwestAir Already have. Problem is, getting married in a few days, fiance clothes are gone and only given a courtesy report with a follow up on friday"
SouthwestAir,2025-08-12T22:10:18.919531,@119401 We truly regret the frustration. It's never our intention to let you down. Please continue to work w/ our Baggage Team in this matter. ^MA
119401,2025-08-12T22:10:19.019980,"@SouthwestAir Frequent fliers on Southwest, just flew in for our wedding and found our checked bag in a trash bag, burned, tripped, and clothes ruined https://t.co/GqNzfUdL8v"
hulu_support,2025-08-12T22:10:19.120463,"@119402 Yikes! What model number is your LG TV? Do any errors pop up when it crashes? For now, work through: https://t.co/HXpLyTU79x."
119402,2025-08-12T22:10:19.220819,Amazing a year later and this still hasn't been fixed. @hulu_support @115940 @118302 https://t.co/Wbp9igOEqs
AmazonHelp,2025-08-12T22:10:19.321160,@119403 Please let us know if doesn't arrive by Friday! We'd like to help! ^ZW
119403,2025-08-12T22:10:19.421769,@AmazonHelp Hey so my package has not arrived yet. Can I get this sorted please
AmazonHelp,2025-08-12T22:10:19.522885,"@119403 While we can't access order or account details through social media, we'd still like to help! Please reach us directly via phone or chat so we can investigate: https://t.co/JzP7hlA23B ^CS"
119403,2025-08-12T22:10:19.623440,@AmazonHelp I will just a bit frustrating that’s all considering it was on amazon prime
119403,2025-08-12T22:10:19.724376,@AmazonHelp You have and it’s been pushed (again) to Friday or possibly Saturday or god forbid Monday. Was told it would be diverted by 8pm tonight.
AmazonHelp,2025-08-12T22:10:19.825080,@119403 I'm sorry for the delay! Have we provided an updated delivery estimate for your order? Please check here: https://t.co/mm84Ic925f ^MB
119403,2025-08-12T22:10:19.926464,@115830 thank you for delaying my package again and again. Not like I wanted it or anything
hulu_support,2025-08-12T22:10:20.027027,"@119404 Sorry for any frustration. For full pricing details, please see: https://t.co/777zhIf5hM. We'll share the feedback."
119404,2025-08-12T22:10:20.127914,Wow. Talk about price gouging. https://t.co/kq6BGHO8DQ
hulu_support,2025-08-12T22:10:20.228501,@119405 Uh oh! On what device are you experiencing buffering? Any specific channel affected? Please try: https://t.co/HXpLyTU79x.
119405,2025-08-12T22:10:20.328753,@119406 @119407 @hulu_support I like the way Hulu is organized better. But they have to do something about that buffering. @hulu_support
119406,2025-08-12T22:10:20.430208,@119405 @119407 @hulu_support Trying free week of Hulu and disappointed is Sling better?
119405,2025-08-12T22:10:20.533206,@119407 Testing Hulu &amp; https://t.co/9h6hEd7WtE to decide which is better. Have to switch to Sling all the time due to Hulu buffering. @hulu_support
119407,2025-08-12T22:10:20.632976,Anyone else having issues with Hulu Live TV tonight? Constant buffering
hulu_support,2025-08-12T22:10:20.735222,"@119408 Sorry! You can resume shows from Keep Watching on Home. To browse/pick an ep, go to the show's page and select Episodes."
119408,2025-08-12T22:10:20.835977,@115940 has THE WORST iPad interface. Why can’t I just see the last show I watched and  quickly pick through seasons and episodes?!
hulu_support,2025-08-12T22:10:20.936500,"@119409 Yikes! Which shows have you noticed this with? If you try uninstalling/reinstalling our app ( https://t.co/HQL1KwGgWo ), any change?"
119409,2025-08-12T22:10:21.037326,"Gah. @115940 on the appletv is super buggy. Not only is it difficult for kids to use, it doesn’t correctly track where we left off ☹️"
Ask_Spectrum,2025-08-12T22:10:21.140143,"@119410 Good evening. If you would please DM your account or phone number for me, I'll be happy to look into this for you. ^MO"
119410,2025-08-12T22:10:21.241382,"@Ask_Spectrum Spectrum. You have officially been put on my “worst and incapable companies” list, aka shit list, to never do business with ever again."
119410,2025-08-12T22:10:21.341993,@Ask_Spectrum admits to having shitty reliability in a professional setting when providing a service consumers pay for?! I’m switching to AT&amp;T. Thanks ...
119410,2025-08-12T22:10:21.442433,"@Ask_Spectrum time actually had the audacity to say that frequent outages are common in my area, a brand new villa development. Like, WTF?! Who blatantly"
119410,2025-08-12T22:10:21.543250,@Ask_Spectrum visits. Each one fixing some minor issue and then leaving. Only to have the same issue happen AGAIN after they leave. The Technician this...
119410,2025-08-12T22:10:21.643901,"(Thread) Think twoce before you get @Ask_Spectrum ‘s service in Hopkinsville, Ky. I’ve almost had them a month now and had FIVE service..."
